id|video_path|caption
1|/media/wtheisen/scratch2/telegram_video/romanov_92/124/post_124_video.mp4|Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩНу вот и ответ Президента РФ.  ТЧК.
2|/media/wtheisen/scratch2/telegram_video/romanov_92/129/post_129_video.mp4|Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩОсторожнее на склонах) сегодня в Румынии мишка решил устроить себе Лыжный шашлык) но получил в подарок только новый рюкзак ) с рюкзаком мишке в лесу удобнее, чем без рюкзака)
3|/media/wtheisen/scratch2/telegram_video/romanov_92/480/post_480_video.mp4|Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩПоследние кадры разбившегося Бе-200. Парни были лихачами.@romanov_92
4|/media/wtheisen/scratch2/telegram_video/romanov_92/426/post_426_video.mp4|Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩВидео с места крушения Ан-26 на Камчатке. Судя во всему, самолёт врезался в прибрежную скалу. Видео №2: Посадка на Палане, недалеко от которого разбился Ан-26, не из лёгких — около полосы находится та самая сопка, в которую сегодня врезался самолёт.Источник: @bazabazon@romanov_92
5|/media/wtheisen/scratch2/telegram_video/romanov_92/150/post_150_video.mp4|Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩUpd.Пацан дело говорит.@surf_noise1[Слышишь Рокот?Это надвигается буря🌊]
6|/media/wtheisen/scratch2/telegram_video/romanov_92/287/post_287_video.mp4|"Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩЗнакомьтесь: Ирина Щукина. Заместитель директора департамента управделами губернатора и правительства Севастополя.Именно она теперь согласно пресловутому Постановлению губернатора Севастополя Михаила Развозжаева (подсказывают, что и саму текстовку постановления составляла она) № 22-ПП «Об утверждении порядка взаимодействия заказчиков при осуществлении закупочных процедур...» единолично решает - быть закупочке или ""дану её""...Вангую: скоро родственников и близких этой без сомнения уважаемой дамы ждёт большой прибыток, финансовый успех и внезапные успехи в бизнесе (юпитер в седьмом доме и вот это вот всё). Естественно это не будет не коим образом связанно с раскладками по закупкам. @romanov_92"
7|/media/wtheisen/scratch2/telegram_video/romanov_92/424/post_424_video.mp4|Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩПросто КамАЗ гружёный КамАЗом тащит КамАЗ, который везёт КамАЗ, который везёт таз. Всё.@romanov_92
8|/media/wtheisen/scratch2/telegram_video/romanov_92/413/post_413_video.mp4|Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩОбщественники плывут просить у Аксёнова прощения и тёпленькое место на бюджете.В МЧС уже сказали, что это были некие гражданские и они не знают, зачем это сделали: «это вообще были гражданские люди, которые приняли для себя в этой критической ситуации такое не совсем понятное решение. Они надели на себя эти костюмы и ничего умнее не придумали, чем плыть за лодкой Аксенова» - прокомментировали в МЧС.@romanov_92
9|/media/wtheisen/scratch2/telegram_video/romanov_92/189/post_189_video.mp4|"Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩАПЛ ""Александр Невский"" проекта 955 ""Борей"" в Тик-Токе...@romanov_92"
10|/media/wtheisen/scratch2/telegram_video/romanov_92/21/post_21_video.mp4|Romanov Лайт ]ࣩࣩࣩࣩ࣯ࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩࣩКакая-то жесть сейчас происходит между США и Венесуэлой... Суть в том, что ещё давно Трамп объявил войну южноамериканским наркокартелям (давно пора), но меры ЦРУ особо не помогли. Тогда американский президент решил избавляться от этой заразы кардинально, а поэтому сейчас туда двигается огромный конвой из американских вооруженных сил. Венесуэла, в свою очередь, мобилизовала армию, и заявляет об угрозе военных действий.
